year,eweek,total_cases,avg_temp_max,avg_temp_med,sum_precip_tot,avg_humid,dengue,dengue symptoms,repellent
2016,15,20557,34.49,31.04,255.6,56.77,34,10,4
2016,16,15680,33.88,30.49,288.93,56.47,28,7,3
2016,17,14549,32.9,29.61,406.11,57.12,23,5,1
2016,18,11383,31.71,28.54,567.89,58.29,20,4,2
2016,19,7619,30.5,27.45,732.44,59.51,18,4,1
2016,20,5813,29.44,26.49,857.02,60.37,14,3,1
2016,21,3581,28.61,25.75,921.54,60.72,13,3,1
2016,22,3275,28.08,25.27,920.11,60.54,10,2,1
2016,23,2320,27.92,25.13,849.25,59.84,9,2,1
2016,24,1760,28.16,25.34,707.88,58.66,7,2,1
2016,25,1387,28.77,25.89,515.45,57.09,6,2,1
2016,26,1231,29.62,26.66,314.46,55.34,5,1,1
2016,27,1284,30.57,27.51,153.06,53.63,5,1,1
2016,28,1043,31.45,28.31,78.64,52.19,4,1,1
2016,29,774,32.18,28.96,113.88,51.12,5,1,1
2016,30,835,32.74,29.47,220.58,50.24,6,1,1
2016,31,880,33.17,29.85,349.06,49.27,5,1,1
2016,32,855,33.51,30.16,443.29,47.94,5,1,1
2016,33,907,33.8,30.42,457.6,46.04,6,1,1
2016,34,785,34.07,30.67,401.25,43.83,6,1,2
2016,35,949,34.39,30.95,319.73,41.87,5,1,2
2016,36,772,34.79,31.31,264.63,40.76,6,2,3
2016,37,1200,35.32,31.79,283.68,41.06,6,1,2
2016,38,1042,35.94,32.34,389.33,42.85,5,1,2
2016,39,1112,36.52,32.87,548.17,45.6,5,1,2
2016,40,1132,36.9,33.21,714.65,48.62,5,1,2
2016,41,1145,36.93,33.24,843.69,51.24,8,2,6
2016,42,1856,36.54,32.89,905.21,52.99,8,2,3
2016,43,1762,35.85,32.27,909.08,53.97,8,2,3
2016,44,1652,35.09,31.58,882.06,54.51,9,2,4
2016,45,2190,34.47,31.02,852.64,54.99,9,2,3
2016,46,1894,34.18,30.77,847.79,55.73,9,2,4
2016,47,2193,34.24,30.82,885.62,56.85,9,2,4
2016,48,2343,34.51,31.06,977.54,58.3,7,2,4
2016,49,2174,34.82,31.33,1133.71,60.01,7,2,4
2016,50,2162,35.01,31.51,1361.56,61.9,6,2,4
2016,51,1826,35.02,31.52,1640.15,63.8,8,3,9
2016,52,1913,34.9,31.41,1621.0,65.34,61,19,48
2017,1,2285,34.71,31.24,2086.27,66.45,74,21,56
2017,2,2265,34.56,31.11,2105.44,66.54,61,16,37
2017,3,2047,34.51,31.06,1921.91,65.55,77,20,35
2017,4,2477,34.55,31.09,1590.39,63.84,85,24,38
2017,5,2687,34.62,31.16,1210.73,62.0,88,26,40
2017,6,2761,34.67,31.2,887.94,60.66,100,27,46
2017,7,2963,34.65,31.19,714.16,60.36,96,24,37
2017,8,2835,34.55,31.1,700.34,61.07,76,22,27
2017,9,2318,34.38,30.95,788.0,62.3,89,21,21
2017,10,2791,34.16,30.75,904.56,63.46,95,21,20
2017,11,2816,33.91,30.52,980.1,63.99,82,17,19
2017,12,2506,33.63,30.26,979.27,63.67,82,19,18
2017,13,2360,33.29,29.97,925.14,62.86,77,16,15
2017,14,2308,32.9,29.61,859.19,62.07,49,14,17
2017,15,1919,32.4,29.16,823.34,61.85,50,13,15
2017,16,1883,31.81,28.63,847.12,62.59,47,11,10
2017,17,1669,31.18,28.07,915.46,64.06,40,10,10
2017,18,1397,30.62,27.56,990.09,65.79,43,9,10
2017,19,1403,30.22,27.2,1029.68,67.22,49,11,9
2017,20,1311,30.07,27.06,997.19,67.86,44,9,10
2017,21,1200,30.13,27.12,886.3,67.52,43,10,10
2017,22,1245,30.27,27.24,720.63,66.27,39,9,10
2017,23,1137,30.31,27.28,530.49,64.28,30,6,9
2017,24,718,30.1,27.09,348.35,61.69,34,9,9
2017,25,911,29.61,26.64,212.01,58.7,32,9,10
2017,26,767,29.0,26.1,116.85,55.59,20,6,7
2017,27,541,28.58,25.72,56.38,52.64,21,7,9
2017,28,622,28.59,25.73,33.06,50.17,18,5,7
2017,29,544,29.25,26.32,89.16,48.37,21,5,11
2017,30,614,30.43,27.38,195.79,47.12,23,6,9
2017,31,549,31.83,28.65,305.85,46.07,28,5,9
2017,32,617,33.14,29.83,377.37,44.85,29,7,10
2017,33,646,34.06,30.65,374.31,43.14,25,6,11
2017,34,708,34.5,31.05,299.37,40.97,32,8,14
2017,35,935,34.64,31.18,198.33,38.78,31,8,20
2017,36,867,34.7,31.23,125.66,37.09,40,12,28
2017,37,1306,34.9,31.41,131.91,36.42,41,10,29
2017,38,1532,35.36,31.83,252.31,37.02,43,11,21
2017,39,1648,35.97,32.37,462.13,38.57,42,11,20
2017,40,1786,36.52,32.87,716.51,40.53,36,11,27
2017,41,1617,36.82,33.14,969.6,42.35,51,13,28
2017,42,2113,36.7,33.03,1180.89,43.59,73,13,29
2017,43,1799,36.21,32.58,1334.92,44.3,48,11,26
2017,44,1475,35.49,31.94,1432.71,44.89,55,11,22
2017,45,1808,34.77,31.29,1478.07,45.79,54,12,26
2017,46,1606,34.2,30.78,1476.0,47.44,50,13,23
2017,47,1562,33.89,30.5,1442.04,49.92,55,13,22
2017,48,1652,33.8,30.42,1405.31,52.92,40,12,27
2017,49,1747,33.87,30.49,1398.19,56.01,38,12,33
2017,50,1825,34.06,30.65,1452.11,58.77,36,13,44
2017,51,1563,34.29,30.86,1578.6,60.87,41,16,48
2017,52,1334,34.54,31.09,2023.57,62.71,48,18,40
2018,1,1683,34.86,31.38,1994.76,62.05,32,11,31
2018,2,1829,34.68,31.22,1908.97,62.88,52,13,100
2018,3,2559,34.55,31.09,1807.65,62.26,44,13,95
2018,4,2511,34.29,30.86,1583.28,61.3,34,10,53
2018,5,2535,34.02,30.62,1304.64,60.42,33,9,49
2018,6,2322,33.84,30.46,1049.85,60.06,28,9,28
2018,7,1773,33.87,30.49,892.4,60.62,36,9,22
2018,8,2278,34.11,30.7,857.44,62.12,33,8,20
2018,9,2230,34.43,30.99,900.61,64.04,33,9,18
2018,10,2166,34.65,31.18,957.63,65.69,34,8,20
2018,11,2188,34.59,31.13,964.4,66.42,32,7,17
2018,12,2113,34.15,30.73,876.85,65.76,26,8,16
2018,13,1868,33.43,30.09,711.59,64.01,30,7,14
2018,14,2039,32.64,29.37,512.84,61.76,32,8,14
2018,15,2152,31.98,28.78,328.25,59.66,24,5,9
2018,16,1814,31.64,28.47,200.86,58.25,24,6,10
2018,17,1909,31.62,28.46,140.39,57.64,23,6,9
2018,18,1721,31.8,28.62,125.71,57.5,23,5,9
2018,19,1804,32.0,28.79,137.27,57.42,22,5,7
2018,20,1827,32.06,28.85,153.53,57.03,18,5,5
2018,21,1296,31.91,28.72,160.21,56.13,13,3,5
2018,22,1039,31.62,28.46,154.93,54.83,15,3,4
2018,23,1045,31.31,28.17,138.02,53.36,17,4,5
2018,24,1184,31.08,27.97,111.86,51.92,16,5,6
2018,25,1031,31.04,27.93,88.04,50.71,13,4,7
2018,26,1052,31.16,28.04,76.44,49.77,13,4,7
2018,27,910,31.37,28.23,77.04,49.11,10,3,6
2018,28,622,31.61,28.45,90.45,48.69,11,3,9
2018,29,727,31.83,28.65,143.52,48.48,11,3,8
2018,30,678,32.01,28.81,235.71,48.38,12,3,8
2018,31,701,32.23,29.0,340.53,48.2,11,2,6
2018,32,573,32.55,29.3,432.34,47.76,12,3,5
2018,33,633,33.06,29.75,488.21,46.88,16,4,7
2018,34,734,33.75,30.38,500.84,45.59,14,3,9
2018,35,713,34.52,31.07,492.7,44.36,13,3,9
2018,36,581,35.23,31.71,496.38,43.82,16,3,9
2018,37,654,35.71,32.14,544.74,44.55,17,3,8
2018,38,712,35.85,32.27,661.52,47.0,17,4,15
